,Type,Price,Location,Baths,Area,Beds
17623,Flat,PKR35 Thousand,"Garden Town, Lahore, Punjab",2,4.4 Marla,2
17624,Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
17625,Flat,PKR25 Thousand,"Johar Town, Lahore, Punjab",1,1.8 Marla,1
17626,House,PKR65 Thousand,"Bahria Nasheman, Lahore, Punjab",6,8 Marla,5
17627,House,PKR10 Thousand,"Manga Mandi, Lahore, Punjab",3,3 Marla,4
17628,Upper Portion,PKR68 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,3
17629,House,PKR15 Thousand,"Sodiwal, Lahore, Punjab",3,5 Marla,3
17630,House,PKR80 Thousand,"Salamatpura, Lahore, Punjab",-,9.7 Marla,-
17631,Upper Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
17632,House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
17633,House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
17634,House,PKR1.41 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
17635,Upper Portion,PKR80 Thousand,"Valencia Housing Society, Lahore, Punjab",2,12 Marla,2
17636,Upper Portion,PKR25 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,2
17637,House,PKR3.5 Lakh,"New Garden Town, Lahore, Punjab",6,1 Kanal,4
17638,Lower Portion,PKR23 Thousand,"Township, Lahore, Punjab",1,5 Marla,3
17639,Lower Portion,PKR45 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,10 Marla,2
17640,Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
17641,House,PKR55 Thousand,"Garden Town, Lahore, Punjab",3,5 Marla,3
17642,House,PKR2.25 Lakh,"Garden Town, Lahore, Punjab",6,1 Kanal,5
17643,House,PKR3.5 Lakh,"New Garden Town, Lahore, Punjab",6,1 Kanal,4
17644,Lower Portion,PKR23 Thousand,"Township, Lahore, Punjab",1,5 Marla,3
17645,Lower Portion,PKR45 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,10 Marla,2
17646,Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
17647,House,PKR55 Thousand,"Garden Town, Lahore, Punjab",3,5 Marla,3
17648,House,PKR2.25 Lakh,"Garden Town, Lahore, Punjab",6,1 Kanal,5
17649,House,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
17650,Flat,PKR26 Thousand,"Peco Road, Lahore, Punjab",1,1.4 Marla,-
17651,Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",-,10 Marla,-
17652,Lower Portion,PKR24 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
17653,Upper Portion,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,3
17654,Upper Portion,PKR27 Thousand,"Green Town Sector D2, Lahore, Punjab",3,5 Marla,3
17655,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
17656,Flat,PKR23 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,2 Marla,1
17657,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
17658,House,PKR55 Thousand,"Icon Valley, Lahore, Punjab",4,5 Marla,4
17659,Upper Portion,PKR15 Thousand,"Township, Lahore, Punjab",1,5 Marla,2
17660,Upper Portion,PKR33 Thousand,"Township, Lahore, Punjab",3,5 Marla,3
17661,Flat,PKR19.5 Thousand,"Mozang, Lahore, Punjab",2,3 Marla,1
17662,Lower Portion,PKR40 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
17663,Lower Portion,PKR32 Thousand,"Sunny Park, Lahore, Punjab",3,7 Marla,4
17664,House,PKR27 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,5 Marla,2
17665,House,PKR3.1 Lakh,"Bahria Town, Lahore, Punjab",4,1 Kanal,4
17666,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
17667,Flat,PKR33 Thousand,"Model Town, Lahore, Punjab",1,1.6 Marla,1
17668,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17669,Lower Portion,PKR30 Thousand,"Begampura, Lahore, Punjab",2,10 Marla,4
17670,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
17671,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17672,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,4
17673,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17674,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17675,House,PKR62 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17676,House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17677,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
17678,Upper Portion,PKR60 Thousand,"Judicial Colony, Lahore, Punjab",3,1 Kanal,3
17679,House,PKR45 Thousand,"Pak Arab Housing Society, Lahore, Punjab",6,3 Marla,3
17680,Lower Portion,PKR45 Thousand,"Pak Arab Housing Society, Lahore, Punjab",2,10 Marla,2
17681,Upper Portion,PKR25 Thousand,"Canal View, Lahore, Punjab",2,1 Kanal,2
17682,Upper Portion,PKR50 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,10 Marla,3
17683,Upper Portion,PKR62 Thousand,"Model Town, Lahore, Punjab",3,15 Marla,3
17684,Upper Portion,PKR60 Thousand,"Model Town, Lahore, Punjab",3,15 Marla,3
17685,Upper Portion,PKR22 Thousand,"Peer Colony, Lahore, Punjab",2,5 Marla,2
17686,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17687,House,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",6,5 Marla,6
17688,Lower Portion,PKR48 Thousand,"Township, Lahore, Punjab",4,12 Marla,3
17689,Upper Portion,PKR33 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,3
17690,House,PKR57 Thousand,"Dream Avenue Lahore, Lahore, Punjab",4,5 Marla,3
17691,House,PKR25 Thousand,"Gulberg, Lahore, Punjab",2,0.8 Marla,1
17692,Lower Portion,PKR22 Thousand,"Mateen Avenue, Lahore, Punjab",2,5 Marla,1
17693,House,PKR55 Thousand,"Mustafa Town, Lahore, Punjab",5,5 Marla,5
17694,House,PKR40 Thousand,"Mustafa Town, Lahore, Punjab",3,3 Marla,3
17695,Upper Portion,PKR98 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
17696,Lower Portion,PKR35 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,8 Marla,3
17697,House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",5,10 Marla,4
17698,Lower Portion,PKR25 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,1
17699,House,PKR16 Thousand,"Immad Garden Housing Scheme, Lahore, Punjab",1,3 Marla,2
17700,Room,PKR12 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,6 Marla,2
17701,Upper Portion,PKR50 Thousand,"IEP Engineers Town, Lahore, Punjab",3,1 Kanal,3
17702,Upper Portion,PKR40 Thousand,"Township, Lahore, Punjab",4,10 Marla,3
17703,Lower Portion,PKR15 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,4 Marla,1
17704,Upper Portion,PKR17 Thousand,"Karim Park, Lahore, Punjab",2,3 Marla,2
17705,Flat,PKR23 Thousand,"Raiwind Road, Lahore, Punjab",1,3 Marla,1
17706,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
17707,House,PKR4 Lakh,"Gulberg, Lahore, Punjab",9,1 Kanal,8
17708,Room,PKR2.5 Thousand,"Manawan, Lahore, Punjab",1,0.4 Marla,1
17709,House,PKR50 Thousand,"Multan Road, Lahore, Punjab",2,5 Marla,3
17710,Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
17711,Upper Portion,PKR30 Thousand,"Cantt, Lahore, Punjab",1,10 Marla,1
17712,Upper Portion,PKR98 Thousand,"Gulberg, Lahore, Punjab",2,1 Kanal,2
17713,Upper Portion,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",3,10 Marla,3
17714,Flat,PKR22 Thousand,"Johar Town, Lahore, Punjab",1,4 Marla,1
17715,Flat,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
17716,House,PKR30 Thousand,"Grand Avenues Housing Scheme, Lahore, Punjab",6,5 Marla,3
17717,House,PKR35 Thousand,"New Samanabad, Lahore, Punjab",3,5 Marla,3
17718,House,PKR3.3 Lakh,"Raiwind Road, Lahore, Punjab",8,1 Kanal,8
17719,Flat,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
17720,Lower Portion,PKR23 Thousand,"Park View City, Lahore, Punjab",2,5.4 Marla,2
17721,Lower Portion,PKR25 Thousand,"Ferozepur Road, Lahore, Punjab",2,4 Marla,2
17722,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
17723,House,PKR3.2 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
17724,Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
17725,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
17726,House,PKR1 Lakh,"PCSIR Housing Scheme, Lahore, Punjab",10,10 Marla,5
17727,House,PKR1.15 Lakh,"Valencia Housing Society, Lahore, Punjab",6,12 Marla,5
17728,Upper Portion,PKR40 Thousand,"Valencia Housing Society, Lahore, Punjab",3,10 Marla,3
17729,House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
17730,Upper Portion,PKR88 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
17731,Upper Portion,PKR34 Thousand,"IEP Engineers Town, Lahore, Punjab",4,10 Marla,4
17732,House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,4
17733,House,PKR75 Thousand,"Punjab University Employees Society, Lahore, Punjab",6,8 Marla,6
17734,House,PKR43 Thousand,"Gulberg, Lahore, Punjab",3,4.8 Marla,3
17735,House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",7,10 Marla,5
17736,Upper Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",2,1 Kanal,3
17737,Lower Portion,PKR60 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
17738,Upper Portion,PKR75 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",3,1 Kanal,3
17739,House,PKR55 Thousand,"Raiwind Road, Lahore, Punjab",4,5 Marla,4
17740,House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
17741,Upper Portion,PKR30 Thousand,"Valencia Housing Society, Lahore, Punjab",2,6 Marla,2
17742,Lower Portion,PKR60 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
17743,House,PKR20 Thousand,"Sue-e-Asal, Lahore, Punjab",3,10 Marla,4
17744,Flat,PKR30 Thousand,"Valencia Housing Society, Lahore, Punjab",2,4 Marla,2
17745,Upper Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",1,5 Marla,2
17746,Upper Portion,PKR28 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
17747,Upper Portion,PKR16 Thousand,"Kamahan Road, Lahore, Punjab",1,5 Marla,2
17748,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
17749,Upper Portion,PKR40 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
17750,House,PKR16.5 Thousand,"Lalazaar Garden, Lahore, Punjab",2,2 Marla,2
17751,House,PKR60 Thousand,"Data Darbar Road, Lahore, Punjab",2,8 Marla,3
17752,House,PKR50 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
17753,Lower Portion,PKR2.5 Lakh,"Multan Road, Lahore, Punjab",-,15 Marla,-
17754,House,PKR1.5 Lakh,"Cavalry Ground, Lahore, Punjab",4,1 Kanal,3
17755,House,PKR80 Thousand,"Askari, Lahore, Punjab",3,12 Marla,3
17756,House,PKR75 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
17757,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17758,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17759,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17760,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17761,Upper Portion,PKR70 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",3,1 Kanal,3
17762,Flat,PKR10 Thousand,"Bahria Town, Lahore, Punjab",1,3 Marla,1
17763,House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
17764,House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
17765,Upper Portion,PKR55 Thousand,"LDA Avenue, Lahore, Punjab",4,1 Kanal,3
17766,Upper Portion,PKR70 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",4,1 Kanal,3
17767,Lower Portion,PKR33 Thousand,"Cavalry Ground, Lahore, Punjab",2,6 Marla,1
17768,Flat,PKR10 Thousand,"Bahria Town, Lahore, Punjab",1,3 Marla,1
17769,House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
17770,House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
17771,Upper Portion,PKR55 Thousand,"LDA Avenue, Lahore, Punjab",4,1 Kanal,3
17772,Upper Portion,PKR70 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",4,1 Kanal,3
17773,Lower Portion,PKR33 Thousand,"Cavalry Ground, Lahore, Punjab",2,6 Marla,1
17774,House,PKR30 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,3
17775,Lower Portion,PKR18 Thousand,"BOR - Board of Revenue Housing Society, Lahore, Punjab",1,3 Marla,1
17776,Upper Portion,PKR30 Thousand,"Gulberg, Lahore, Punjab",2,4.9 Marla,2
17777,House,PKR1.55 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
17778,Flat,PKR45 Thousand,"Rehan Garden, Lahore, Punjab",3,10 Marla,3
17779,Upper Portion,PKR26 Thousand,"Model Town, Lahore, Punjab",2,5 Marla,2
17780,House,PKR50 Thousand,"GCP Housing Scheme, Lahore, Punjab",3,5 Marla,3
17781,House,PKR2 Lakh,"Gulshan-e-Ravi, Lahore, Punjab",9,1 Kanal,8
17782,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17783,House,PKR80 Thousand,"Wapda Town, Lahore, Punjab",5,10 Marla,4
17784,Upper Portion,PKR65 Thousand,"OPF Housing Scheme, Lahore, Punjab",4,16 Marla,3
17785,Flat,PKR15 Thousand,"Jan Muhammad Road, Lahore, Punjab",1,1.1 Marla,1
17786,House,PKR35 Thousand,"Baghbanpura, Lahore, Punjab",2,8 Marla,4
17787,Penthouse,PKR30 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1
17788,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
17789,Flat,PKR15 Thousand,"Shadab Garden, Lahore, Punjab",1,4 Marla,1
17790,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
17791,House,PKR45 Thousand,"Mughalpura, Lahore, Punjab",4,5 Marla,4
17792,House,PKR17 Thousand,"Fateh Garh, Lahore, Punjab",-,1.5 Marla,-
17793,House,PKR50 Thousand,"Johar Town, Lahore, Punjab",4,5 Marla,3
17794,Upper Portion,PKR33 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
17795,Room,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",1,0.9 Marla,1
17796,House,PKR46 Thousand,"Punjab Government Servant Housing Foundation, Lahore, Punjab",4,12 Marla,3
17797,Upper Portion,PKR55 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
17798,House,PKR60 Thousand,"Park View City, Lahore, Punjab",5,5 Marla,5
17799,House,PKR55 Thousand,"State Life Housing Society, Lahore, Punjab",3,5 Marla,3
17800,House,PKR1.3 Lakh,"Tricon Village, Lahore, Punjab",7,1.1 Kanal,5
17801,Flat,PKR20 Thousand,"DHA Defence, Lahore, Punjab",1,3 Marla,1
17802,House,PKR85 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",5,10 Marla,4
17803,Room,PKR15.5 Thousand,"Johar Town, Lahore, Punjab",1,2 Marla,1
17804,Upper Portion,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
17805,Upper Portion,PKR20 Thousand,"Sher Ali Road, Lahore, Punjab",2,3.5 Marla,2
17806,Lower Portion,PKR21 Thousand,"GT Road, Lahore, Punjab",3,5 Marla,2
17807,House,PKR60 Thousand,"Gulshan-e-Ravi, Lahore, Punjab",2,5 Marla,2
17808,Flat,PKR20 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,3 Marla,2
17809,House,PKR65 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,10 Marla,3
17810,House,PKR2.5 Lakh,"Johar Town, Lahore, Punjab",9,1.1 Kanal,9
17811,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17812,House,PKR55 Thousand,"Marghzar Officers Colony, Lahore, Punjab",4,1 Kanal,4
17813,House,PKR55 Thousand,"Jubilee Town, Lahore, Punjab",6,5 Marla,5
17814,House,PKR55 Thousand,"Jubilee Town, Lahore, Punjab",6,5 Marla,5
17815,House,PKR55 Thousand,"Jubilee Town, Lahore, Punjab",6,5 Marla,5
17816,House,PKR50 Thousand,"Gulshan-e-Ravi, Lahore, Punjab",3,5 Marla,4
17817,House,PKR65 Thousand,"Jail Road, Lahore, Punjab",3,5 Marla,3
17818,Flat,PKR35 Thousand,"Johar Town, Lahore, Punjab",2,3.1 Marla,2
17819,Flat,PKR20 Thousand,"Johar Town, Lahore, Punjab",1,1.6 Marla,1
17820,Flat,PKR15 Thousand,"Wahdat Colony, Lahore, Punjab",1,3.1 Marla,1
17821,Upper Portion,PKR35 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,10 Marla,3
17822,Upper Portion,PKR35 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,10 Marla,3
17823,House,PKR4 Lakh,"Cantt, Lahore, Punjab",3,1.2 Kanal,3
17824,Upper Portion,PKR35 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,2
17825,House,PKR50 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
17826,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,4
17827,Upper Portion,PKR98 Thousand,"Gulberg, Lahore, Punjab",2,1 Kanal,2
17828,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17829,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17830,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17831,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17832,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17833,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17834,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17835,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
17836,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,-
17837,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,2
17838,Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,2
17839,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
17840,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
17841,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
17842,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17843,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
17844,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17845,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17846,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17847,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17848,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17849,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
17850,Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,3
17851,Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
17852,Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
17853,Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
17854,Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
17855,Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
17856,Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
17857,House,PKR22 Thousand,"Park View City, Lahore, Punjab",2,5.4 Marla,2
17858,Lower Portion,PKR38.5 Thousand,"Mustafa Town, Lahore, Punjab",2,7 Marla,2
17859,Lower Portion,PKR1.8 Lakh,"Cavalry Ground, Lahore, Punjab",5,2 Kanal,5
17860,Upper Portion,PKR36 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",3,10 Marla,3
17861,Flat,PKR30 Thousand,"Mustafa Town, Lahore, Punjab",-,5 Marla,-
17862,Upper Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",3,5 Marla,3
17863,Lower Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,2
17864,House,PKR60 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,3
17865,House,PKR47 Thousand,"Johar Town, Lahore, Punjab",3,5 Marla,3
17866,Lower Portion,PKR18 Thousand,"Hajvery Housing Scheme, Lahore, Punjab",2,5 Marla,2
17867,Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",2,1 Kanal,2
17868,House,PKR1.1 Lakh,"HBFC Housing Society, Lahore, Punjab",-,16 Marla,-
17869,Flat,PKR22 Thousand,"Mason Road, Lahore, Punjab",2,3 Marla,2
17870,House,PKR25 Thousand,"BOR - Board of Revenue Housing Society, Lahore, Punjab",2,5 Marla,2
17871,Flat,PKR22 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,3 Marla,1
17872,House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
17873,House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
17874,House,PKR20 Thousand,"Shoukat Town, Lahore, Punjab",1,3 Marla,2
17875,House,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",3,3 Marla,3
17876,Upper Portion,PKR80 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
17877,House,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",3,3 Marla,3
17878,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17879,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
17880,Upper Portion,PKR22 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,4 Marla,1
17881,Flat,PKR20 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
17882,Upper Portion,PKR35 Thousand,"Model Town, Lahore, Punjab",2,8 Marla,2
17883,House,PKR26 Thousand,"Rizwan Garden Scheme, Lahore, Punjab",-,3 Marla,-
17884,Room,PKR15 Thousand,"Askari, Lahore, Punjab",1,5 Marla,1
17885,House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
17886,House,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
17887,Room,PKR8 Thousand,"Mehmood Booti, Lahore, Punjab",1,2 Marla,1
17888,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
17889,Upper Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,1 Kanal,3
17890,Upper Portion,PKR70 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,4
17891,Upper Portion,PKR40 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,3
17892,House,PKR60 Thousand,"Paragon City, Lahore, Punjab",3,5 Marla,3
17893,Upper Portion,PKR36 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,3
17894,Room,PKR20 Thousand,"Township, Lahore, Punjab",1,10 Marla,1
17895,Lower Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
17896,House,PKR60 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,5 Marla,4
17897,House,PKR2 Lakh,"EME Society, Lahore, Punjab",6,1 Kanal,6
17898,Upper Portion,PKR80 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",4,1 Kanal,3
17899,Lower Portion,PKR50 Thousand,"Township, Lahore, Punjab",3,1 Kanal,3
17900,Lower Portion,PKR90 Thousand,"Township, Lahore, Punjab",3,10 Marla,2
17901,Lower Portion,PKR25 Thousand,"Township, Lahore, Punjab",2,5 Marla,2
17902,Flat,PKR17 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,3 Marla,1
17903,Upper Portion,PKR35 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,2
17904,Room,PKR9 Thousand,"Sabzazar Scheme, Lahore, Punjab",1,0.8 Marla,1
17905,Upper Portion,PKR35 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
17906,Upper Portion,PKR65 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
17907,Lower Portion,PKR25 Thousand,"Al Rehman Garden, Lahore, Punjab",2,5 Marla,2
17908,Upper Portion,PKR47 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
17909,Upper Portion,PKR45 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",3,10 Marla,3
17910,Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2
17911,Flat,PKR2.25 Lakh,"Cantt, Lahore, Punjab",3,15.1 Marla,3
17912,House,PKR35 Thousand,"Al Rehman Garden, Lahore, Punjab",6,5 Marla,5
17913,Upper Portion,PKR30 Thousand,"Waris Road, Lahore, Punjab",2,5 Marla,2
17914,Upper Portion,PKR29 Thousand,"Gulshan-e-Lahore, Lahore, Punjab",2,4 Marla,2
17915,Lower Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,2
